Item,ItemNumber,ProductDescription,ProductGroupId,UnitCost,UnitCostDate,VendorName,VendorProductNumber,VendorProductDescription,VendorPhone
1014227,1014227,"DISC SLEEVE W/WTR CHMBR 10"",8 HOLE",Sb-Assy,413.836,3/21/2018 12:00,"KEMCO SYSTEMS CO, LLC",WORK ORDER,,630-413-9143
1014228,1014228,,Sb-Assy,6.8,11/1/2024 12:00,"KEMCO SYSTEMS CO, LLC",1014228,,630-413-9143
LABOR,LABOR,,Sb-Assy,68,12/10/2024 12:00,"KEMCO SYSTEMS CO, LLC",LABOR,,630-413-9143
1014422,1014422,SS_99 MECHANICAL SEAL TYPE 8B1T/8-1T - 1.375  JC #M161539,Sb-Assy,0,1/1/1900 12:00,,,,
1014510,1014510,,Sb-Assy,14534.5008,10/5/1994 12:00,,,,
1014569,1014569,,Sb-Assy,8.03,11/1/2024 12:00,,,,
14,14,"AURORA PUMP, 4x4x7, 20HP, 600GPM @100TDH $899.00",Sb-Assy,0,1/1/1900 12:00,,,,
16,16,"LIGHTNIN MIXER, MODEL #XLQ-100F, 1.5HP",Sb-Assy,0,1/1/1900 12:00,,,,
17,17,GAS REGULATOR ON WHEELED CART,Sb-Assy,0,1/1/1900 12:00,,,,
18,18,"WW PUMPSET, GROMAN RUPP, 20HP MOTOR ATTACHED $3,202.00 PART# 14A20-B",Sb-Assy,0,1/1/1900 12:00,,,,
75,75,"10' TRAILOR                            $2,700.00",NA,0,1/1/1900 12:00,,,,
76,76,PUMP / TANK for SHOW? ON STAND,NA,0,1/1/1900 12:00,,,,
1014193,1014193,SS71 8B1T-H/81T-1.750/1.500-XF48 1 O15 1(316)-TANDEM,Sb-Assy,0,1/1/1900 12:00,,,,
1007,1007,Busch Equipment,Sb-Assy,400,11/1/2024 12:00,,,,
1008,1008,Busch Equipment,Sb-Assy,400,11/1/2024 12:00,,,,
1038,1038,Busch Equipment,NA,10000,11/1/2024 12:00,,,,
1009,1009,Busch Equipment,Sb-Assy,400,11/1/2024 12:00,,,,
1010,1010,Busch Equipment,Sb-Assy,0,1/1/1900 12:00,,,,
